date,valor
2022-09-22,94.7628612340014
2022-09-23,94.3430310186742
2022-09-26,93.90863442397499
2022-09-27,93.50719822838147
2022-09-28,94.18552570839879
2022-09-29,93.15425654710896
2022-09-30,93.75694290724591
2022-10-03,95.1185641315508
2022-10-04,95.96348920122327
2022-10-05,96.1158677998995
2022-10-06,96.18756434608198
2022-10-07,95.13131363447147
2022-10-10,94.57307174079676
2022-10-11,94.45632549015266
2022-10-13,94.85066322869243
2022-10-14,93.85474623112336
2022-10-17,94.9077595048497
2022-10-18,95.53091879798168
2022-10-19,95.6936362163386
2022-10-20,95.24376209092402
2022-10-21,96.67586401291183
2022-10-24,96.61592691610387
2022-10-25,96.4889066619787
2022-10-26,96.34960296339075
2022-10-27,96.202608498067
2022-10-28,97.72316329730425
2022-10-31,96.40582208453361
